epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.423,3.08514,2.14316,1.00628,0.35468,0.24229,0.19668,0.06195,2.94991,1.852,0.94415,0.000332397,0.000332397,0.0670927
2,92.728,2.96869,1.84981,0.98169,0.39086,0.25306,0.22639,0.07312,2.89442,1.68251,0.95189,0.000643761,0.000643761,0.0340707
3,131.674,2.94516,1.78772,0.95948,0.42736,0.27561,0.25475,0.08454,2.82523,1.60052,0.93983,0.000933125,0.000933125,0.00102676
4,170.691,2.89123,1.7343,0.95874,0.43105,0.29143,0.27251,0.09125,2.77512,1.5574,0.92457,0.000901,0.000901,0.000901
5,209.561,2.88297,1.73289,0.95358,0.44656,0.29752,0.27562,0.09151,2.76723,1.67444,0.93621,0.000868,0.000868,0.000868
6,248.132,2.86677,1.68548,0.94381,0.44608,0.31379,0.29169,0.09765,2.71441,1.62678,0.9121,0.000835,0.000835,0.000835
7,287.402,2.83072,1.66282,0.94116,0.4509,0.32007,0.30429,0.10341,2.70574,1.51453,0.9143,0.000802,0.000802,0.000802
8,326.459,2.82131,1.64635,0.93896,0.46878,0.31255,0.30121,0.10445,2.69279,1.54175,0.91401,0.000769,0.000769,0.000769
9,365.024,2.80685,1.63103,0.93684,0.45578,0.31441,0.30492,0.10501,2.6894,1.476,0.9145,0.000736,0.000736,0.000736
10,404.346,2.78147,1.61066,0.93506,0.47587,0.32422,0.3146,0.10792,2.67221,1.47856,0.91175,0.000703,0.000703,0.000703
11,443.51,2.78709,1.60121,0.92672,0.46004,0.31906,0.31705,0.11149,2.64086,1.46555,0.90557,0.00067,0.00067,0.00067
12,482.499,2.76302,1.6008,0.93045,0.44873,0.32154,0.30133,0.09936,2.68216,1.46924,0.91096,0.000637,0.000637,0.000637
13,521.836,2.76856,1.59046,0.92304,0.4368,0.32901,0.31092,0.10691,2.65793,1.45663,0.90571,0.000604,0.000604,0.000604
14,561.665,2.74583,1.58197,0.92336,0.48223,0.32857,0.32583,0.11375,2.65014,1.44582,0.90381,0.000571,0.000571,0.000571
15,600.477,2.73704,1.55327,0.91822,0.47953,0.32501,0.32228,0.1113,2.65163,1.44271,0.90142,0.000538,0.000538,0.000538
16,639.549,2.74068,1.55551,0.91977,0.45801,0.32422,0.3169,0.11015,2.64717,1.43818,0.9064,0.000505,0.000505,0.000505
17,678.575,2.72857,1.5411,0.9188,0.46623,0.33909,0.32964,0.11296,2.64266,1.43376,0.90018,0.000472,0.000472,0.000472
18,724.361,2.69315,1.52026,0.91702,0.47884,0.33954,0.33417,0.11575,2.63388,1.45329,0.90146,0.000439,0.000439,0.000439
19,763.889,2.69861,1.52304,0.91858,0.49195,0.33324,0.33402,0.11887,2.61608,1.41689,0.89928,0.000406,0.000406,0.000406
20,806.252,2.69071,1.51841,0.91663,0.48533,0.33939,0.33895,0.11882,2.61193,1.40676,0.9006,0.000373,0.000373,0.000373
21,913.478,2.58221,1.49094,0.92638,0.4746,0.33782,0.33368,0.11517,2.63133,1.42323,0.90163,0.00034,0.00034,0.00034
22,956.906,2.59007,1.46927,0.9212,0.50113,0.33777,0.3405,0.11989,2.61427,1.41552,0.89749,0.000307,0.000307,0.000307
23,999.688,2.57747,1.46557,0.91761,0.49666,0.33896,0.34034,0.12057,2.61398,1.40791,0.89901,0.000274,0.000274,0.000274
24,1042.94,2.56953,1.45941,0.91726,0.48745,0.3482,0.34486,0.12135,2.59603,1.41981,0.8941,0.000241,0.000241,0.000241
25,1085.98,2.56475,1.45218,0.91529,0.49532,0.33775,0.3418,0.12132,2.60338,1.39596,0.89671,0.000208,0.000208,0.000208
26,1129.52,2.55739,1.4503,0.91235,0.49712,0.33811,0.34443,0.12153,2.59066,1.39504,0.89586,0.000175,0.000175,0.000175
27,1172.65,2.54877,1.44021,0.91594,0.49327,0.34476,0.34723,0.12181,2.59256,1.40003,0.89512,0.000142,0.000142,0.000142
28,1216.41,2.54132,1.43756,0.90782,0.4938,0.34426,0.34673,0.12344,2.59512,1.39487,0.89403,0.000109,0.000109,0.000109
29,1259.59,2.53098,1.43321,0.90875,0.5069,0.34455,0.35057,0.12417,2.58827,1.40113,0.89364,7.6e-05,7.6e-05,7.6e-05
30,1302.64,2.53171,1.42538,0.91033,0.50072,0.34569,0.34875,0.12441,2.58267,1.38644,0.89247,4.3e-05,4.3e-05,4.3e-05
