epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9149,1.99432,1.90301,1.61225,0.57198,0.47736,0.4882,0.18282,2.18562,1.56883,1.53962,0.000332881,0.000332881,0.0670448
2,189.993,1.91543,1.69108,1.55904,0.56549,0.47639,0.47632,0.15543,2.34805,1.61717,1.63358,0.000644229,0.000644229,0.0340228
3,278.919,1.896,1.62431,1.54776,0.60985,0.52419,0.54798,0.19501,2.18428,1.46098,1.52878,0.000933578,0.000933578,0.000978806
4,365.229,1.85641,1.57038,1.5229,0.64284,0.54052,0.5664,0.21721,2.09067,1.44086,1.49559,0.000901,0.000901,0.000901
5,450.934,1.83264,1.5477,1.49985,0.65683,0.55159,0.57696,0.23614,2.04087,1.3868,1.46409,0.000868,0.000868,0.000868
6,535.21,1.80399,1.50001,1.48408,0.68491,0.5479,0.58369,0.2324,2.12072,1.33533,1.49329,0.000835,0.000835,0.000835
7,619.045,1.78874,1.47269,1.46143,0.67895,0.55771,0.6037,0.24301,2.07828,1.31086,1.44959,0.000802,0.000802,0.000802
8,703.159,1.7785,1.44596,1.45273,0.68926,0.57306,0.6185,0.24975,2.02599,1.28225,1.42277,0.000769,0.000769,0.000769
9,791.406,1.75904,1.43341,1.4403,0.7097,0.5686,0.61894,0.24765,2.09244,1.28053,1.45106,0.000736,0.000736,0.000736
10,881.947,1.75194,1.4183,1.43827,0.68605,0.58317,0.62425,0.24649,2.08485,1.28562,1.44948,0.000703,0.000703,0.000703
11,965.96,1.73491,1.39253,1.42524,0.71196,0.59571,0.64491,0.26905,2.01559,1.24342,1.42912,0.00067,0.00067,0.00067
12,1050.18,1.71267,1.38129,1.41922,0.70964,0.58914,0.64378,0.26524,1.97265,1.22811,1.40709,0.000637,0.000637,0.000637
13,1134.6,1.71173,1.37494,1.41183,0.72855,0.60348,0.66048,0.27542,1.99682,1.20638,1.38861,0.000604,0.000604,0.000604
14,1218.41,1.70579,1.36635,1.40816,0.73906,0.59988,0.66375,0.28488,1.95407,1.19993,1.37206,0.000571,0.000571,0.000571
15,1302.43,1.69103,1.35416,1.39936,0.72719,0.58845,0.65331,0.27496,1.95925,1.20145,1.36872,0.000538,0.000538,0.000538
16,1387.2,1.68615,1.3445,1.39425,0.73348,0.60593,0.66245,0.29075,1.92389,1.17568,1.34449,0.000505,0.000505,0.000505
17,1471.6,1.6833,1.33086,1.38923,0.74231,0.61281,0.67348,0.29436,1.92496,1.1694,1.35277,0.000472,0.000472,0.000472
18,1555.9,1.67497,1.32089,1.38798,0.72738,0.60819,0.66894,0.29509,1.88375,1.17758,1.33829,0.000439,0.000439,0.000439
19,1640.31,1.66429,1.31177,1.37895,0.72701,0.61042,0.66441,0.28055,1.95168,1.16652,1.35923,0.000406,0.000406,0.000406
20,1724.22,1.66206,1.30562,1.37268,0.73942,0.6071,0.67059,0.2917,1.9113,1.16274,1.34401,0.000373,0.000373,0.000373
21,1833.86,1.61408,1.19462,1.33488,0.73786,0.61601,0.66759,0.28719,1.92742,1.15391,1.34672,0.00034,0.00034,0.00034
22,1915.08,1.60585,1.17809,1.32994,0.74746,0.60814,0.6707,0.29004,1.91718,1.14412,1.34232,0.000307,0.000307,0.000307
23,1995.68,1.59349,1.16239,1.32001,0.7591,0.61572,0.68843,0.30424,1.89652,1.11019,1.32327,0.000274,0.000274,0.000274
24,2076.38,1.58767,1.15677,1.3154,0.75464,0.61932,0.68328,0.30694,1.86454,1.11864,1.30475,0.000241,0.000241,0.000241
25,2157.75,1.57713,1.14713,1.31063,0.76091,0.62123,0.68911,0.30629,1.87749,1.11703,1.31138,0.000208,0.000208,0.000208
26,2237.39,1.57696,1.14365,1.30669,0.75855,0.62583,0.68813,0.30408,1.87909,1.10417,1.30686,0.000175,0.000175,0.000175
27,2314.69,1.56523,1.13171,1.29805,0.75263,0.62505,0.68333,0.30475,1.87146,1.10236,1.30525,0.000142,0.000142,0.000142
28,2392.09,1.56013,1.12283,1.29323,0.76578,0.62866,0.69457,0.31198,1.86692,1.09211,1.3068,0.000109,0.000109,0.000109
29,2469.67,1.55814,1.11608,1.29452,0.7638,0.63098,0.69508,0.31119,1.86914,1.09018,1.30002,7.6e-05,7.6e-05,7.6e-05
30,2547.24,1.54943,1.1121,1.2868,0.77128,0.63005,0.69676,0.31437,1.85174,1.08189,1.29231,4.3e-05,4.3e-05,4.3e-05
