epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.053,1.77538,1.52232,1.45126,0.63555,0.47707,0.48994,0.15991,2.35437,1.47477,1.62532,3.32881e-05,3.32881e-05,0.0667452
2,200.183,1.67715,1.3712,1.38149,0.72174,0.59954,0.66426,0.28038,1.94723,1.17023,1.34046,6.33237e-05,6.33237e-05,0.0334419
3,293.699,1.64161,1.30648,1.36341,0.77236,0.62777,0.69941,0.30203,1.9221,1.1173,1.33212,9.00592e-05,9.00592e-05,0.000135288
4,390.697,1.60773,1.27046,1.34461,0.77398,0.61255,0.6837,0.29585,1.92316,1.10846,1.31749,8.515e-05,8.515e-05,8.515e-05
5,488.993,1.60085,1.26472,1.33783,0.77022,0.62729,0.69982,0.31813,1.84168,1.08923,1.28654,8.02e-05,8.02e-05,8.02e-05
6,587.349,1.58654,1.24476,1.33275,0.7636,0.6234,0.69416,0.32274,1.80516,1.07073,1.27631,7.525e-05,7.525e-05,7.525e-05
7,685.787,1.58129,1.22787,1.3194,0.77825,0.62816,0.70626,0.33709,1.74272,1.05002,1.25371,7.03e-05,7.03e-05,7.03e-05
8,784.379,1.57834,1.21705,1.31887,0.77493,0.63127,0.70988,0.33834,1.74502,1.0546,1.25189,6.535e-05,6.535e-05,6.535e-05
9,883.179,1.56254,1.20982,1.31167,0.78073,0.63204,0.70843,0.33843,1.75303,1.04125,1.253,6.04e-05,6.04e-05,6.04e-05
10,981.34,1.56315,1.19689,1.30956,0.78537,0.63214,0.70981,0.33569,1.76793,1.04126,1.25402,5.545e-05,5.545e-05,5.545e-05
11,1111.56,1.53558,1.12356,1.28123,0.78486,0.63272,0.71243,0.33733,1.75479,1.04634,1.24996,5.05e-05,5.05e-05,5.05e-05
12,1208.79,1.51409,1.09603,1.27027,0.78679,0.6357,0.71616,0.3489,1.69699,1.03156,1.23724,4.555e-05,4.555e-05,4.555e-05
13,1306.39,1.50164,1.07998,1.26294,0.78437,0.64011,0.71676,0.34176,1.74275,1.03113,1.24491,4.06e-05,4.06e-05,4.06e-05
14,1405.27,1.49829,1.07304,1.26311,0.78336,0.63651,0.71539,0.34822,1.70081,1.02839,1.23287,3.565e-05,3.565e-05,3.565e-05
15,1496.1,1.49309,1.06835,1.25822,0.78414,0.64176,0.71865,0.34935,1.69937,1.01957,1.22894,3.07e-05,3.07e-05,3.07e-05
16,1587.29,1.4918,1.0606,1.2544,0.78779,0.64108,0.71922,0.35047,1.69704,1.01263,1.22793,2.575e-05,2.575e-05,2.575e-05
17,1678.6,1.48308,1.0562,1.25313,0.78615,0.6438,0.72114,0.3507,1.70564,1.01014,1.22842,2.08e-05,2.08e-05,2.08e-05
18,1769.88,1.48261,1.05346,1.25222,0.78445,0.64565,0.71955,0.35333,1.69092,1.00449,1.22388,1.585e-05,1.585e-05,1.585e-05
19,1861.18,1.47167,1.04291,1.25067,0.781,0.64332,0.72007,0.3532,1.68992,1.01049,1.22449,1.09e-05,1.09e-05,1.09e-05
20,1952.44,1.47413,1.03886,1.24521,0.78401,0.6426,0.72022,0.35456,1.68769,1.00364,1.22226,5.95e-06,5.95e-06,5.95e-06
